<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200206,154500,3105.3300000,3106.1300000,3103.2500000,3103.6900000,1032132520
20200206,160000,3103.6200000,3106.2700000,3100.7000000,3105.9300000,1234577834
20200206,161500,3105.8300000,3105.8300000,3097.4800000,3098.0200000,1357678640
20200206,163000,3098.0300000,3099.1700000,3096.1700000,3098.1400000,1150479396
20200206,164500,3098.2100000,3100.6600000,3097.3600000,3097.5300000,1523994755
20200206,170000,3097.7100000,3097.9400000,3089.7300000,3090.3500000,1792095835
20200206,171500,3090.4500000,3095.3800000,3089.3900000,3094.0800000,1543325114
20200206,173000,3094.0300000,3096.3800000,3089.7100000,3096.0900000,1571170740
20200206,174500,3095.9400000,3097.4500000,3086.9100000,3088.5700000,3070970500
20200206,180000,3088.8500000,3098.4600000,3088.8500000,3098.2700000,2154001321
20200206,181500,3098.2500000,3098.8600000,3091.9200000,3094.1100000,2364476535
20200206,183000,3094.1000000,3097.1000000,3091.5000000,3096.7400000,2013343079
20200206,184500,3096.6200000,3098.6200000,3095.9800000,3097.2400000,1965805596
20200206,190000,3096.6800000,3096.6800000,3096.6800000,3096.6800000,3479252834
20200207,101500,3103.1300000,3106.5500000,3096.4200000,3106.5500000,2777891593
20200207,103000,3106.5500000,3108.2800000,3089.5900000,3089.6600000,3246380644
20200207,104500,3089.6800000,3092.2700000,3077.1600000,3084.6300000,3349980141
20200207,110000,3084.8100000,3091.7100000,3084.1900000,3089.8100000,1210700155
20200207,111500,3090.2000000,3099.4100000,3089.4900000,3095.1500000,3009444420
20200207,113000,3095.2600000,3097.2100000,3091.2100000,3091.6300000,1409968922
20200207,114500,3091.5800000,3093.4000000,3088.7700000,3092.8200000,1252870705
20200207,120000,3092.8100000,3094.7300000,3079.8400000,3080.4500000,2751134307
20200207,121500,3080.1600000,3083.2600000,3071.0700000,3072.2100000,3770677444
20200207,123000,3071.8900000,3075.1500000,3067.6600000,3068.7300000,2453719057
20200207,124500,3068.3500000,3077.1200000,3065.2900000,3076.5900000,2579131301
20200207,130000,3076.5400000,3077.1300000,3070.8900000,3074.5100000,1331605510
20200207,131500,3074.6900000,3077.3400000,3070.9400000,3071.8200000,1165081479
20200207,133000,3071.8500000,3072.3500000,3063.4900000,3065.5000000,2551377730
20200207,134500,3065.4900000,3069.3500000,3062.5000000,3064.2900000,2494632055
20200207,140000,3064.4100000,3064.5100000,3059.5700000,3059.7400000,2275508497
20200207,141500,3059.6200000,3062.8400000,3056.8500000,3060.8200000,1663281524
20200207,143000,3061.0300000,3066.2000000,3061.0300000,3062.8100000,1718169218
20200207,144500,3062.7100000,3064.7400000,3059.7900000,3062.1300000,1053293869
20200207,150000,3062.3200000,3066.4500000,3061.9900000,3066.2600000,808264486
20200207,151500,3066.3300000,3070.5300000,3065.9800000,3066.9700000,1585818265
20200207,153000,3066.9700000,3070.4900000,3066.6700000,3068.2100000,1154623264
20200207,154500,3068.2700000,3073.0900000,3067.9200000,3072.0500000,1209016897
20200207,160000,3072.0300000,3072.6300000,3068.7200000,3070.2900000,874559386
20200207,161500,3070.2900000,3074.5000000,3068.8700000,3071.8000000,1687241202
20200207,163000,3071.8400000,3080.7200000,3071.8400000,3079.6900000,1887137707
20200207,164500,3079.4200000,3080.4900000,3072.5900000,3075.8700000,2071523010
20200207,170000,3075.8700000,3080.2100000,3075.7000000,3078.2900000,1055969391
20200207,171500,3078.4300000,3085.8600000,3077.7500000,3082.8300000,2281595027
20200207,173000,3082.9100000,3083.3000000,3078.2400000,3079.7400000,1418910592
20200207,174500,3079.9100000,3080.8400000,3070.0400000,3071.6100000,2676505992
20200207,180000,3071.5600000,3077.3800000,3069.8000000,3075.7800000,1647434614
20200207,181500,3075.8200000,3082.7000000,3073.3900000,3080.8000000,2424731199
20200207,183000,3080.7600000,3086.7000000,3079.8600000,3084.1900000,2476069283
20200207,184500,3084.0100000,3084.7100000,3081.8500000,3083.1400000,1937302205
20200207,190000,3087.6300000,3087.6300000,3087.6300000,3087.6300000,3385177705
20200210,101500,3087.2500000,3090.2100000,3075.6000000,3077.4500000,3687700241
20200210,103000,3077.4500000,3087.2200000,3069.1600000,3086.8000000,3188653115
20200210,104500,3086.8900000,3092.4200000,3084.1100000,3088.6300000,1804716646
20200210,110000,3088.8200000,3091.0000000,3086.9500000,3090.6600000,1139947326
20200210,111500,3090.6200000,3092.9300000,3084.7800000,3092.2000000,2612378607
20200210,113000,3092.1400000,3092.7100000,3080.6000000,3082.4500000,2218581276
20200210,114500,3082.4200000,3084.3300000,3073.4400000,3077.6900000,2515786335
20200210,120000,3077.5600000,3078.6600000,3067.7300000,3071.5000000,2187896898
20200210,121500,3071.5900000,3074.4500000,3060.9500000,3065.7500000,3218227613
20200210,123000,3065.8400000,3065.8500000,3049.3300000,3060.7000000,3903531203
20200210,124500,3060.9000000,3061.9300000,3055.7900000,3056.7000000,1602914432
20200210,130000,3056.9200000,3062.4600000,3053.7300000,3060.4200000,1452069279
20200210,131500,3060.4200000,3063.4000000,3059.3600000,3061.4200000,1096237706
20200210,133000,3061.4100000,3063.5500000,3058.6700000,3058.7900000,1132934952
20200210,134500,3058.8300000,3064.9600000,3055.1500000,3063.8700000,1730050536
20200210,140000,3063.9800000,3064.0400000,3060.9800000,3063.4200000,1127126344
20200210,141500,3063.4200000,3067.7800000,3060.8000000,3061.0000000,1593281389
20200210,143000,3061.0800000,3064.9000000,3060.6600000,3064.6400000,884326395
20200210,144500,3064.6400000,3065.7600000,3062.6400000,3063.6300000,1171667970
