<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200211,204500,29312.5397045,29322.6900472,29297.5791994,29306.2094908,900
20200211,210000,29306.3594958,29325.3201360,29295.8291403,29324.0400928,900
20200211,211500,29324.4801076,29340.9606641,29320.0799591,29323.3300688,900
20200211,213000,29323.3500695,29325.2701343,29309.3995985,29315.6398092,900
20200211,214500,29315.4698034,29328.6102471,29314.4897703,29323.9800908,900
20200211,220000,29323.6800806,29325.4601407,29290.0089438,29307.9895509,900
20200211,221500,29309.1895914,29312.5497048,29275.0684393,29284.5387591,900
20200211,223000,29284.3687533,29295.5391305,29256.2278032,29278.3685507,898
20200211,224500,29279.2085791,29314.7397788,29275.1684427,29311.9296839,900
20200211,230000,29312.0196869,29315.5198051,29272.2683448,29275.2784464,900
20200211,231500,29277.5385227,29288.1088796,29228.4768662,29230.0969209,871
20200211,233000,29225.6467706,29256.9178265,29211.4562915,29253.6577164,851
20200211,234500,29254.9177590,29287.7388671,29243.1673622,29283.2687162,900
20200212,000000,29282.6886966,29302.6493706,29251.8476553,29277.2185119,880
20200212,001500,29278.5485568,29278.5485568,29277.0585065,29277.3285156,897
20200212,003000,29277.3285156,29277.3285156,29277.3285156,29277.3285156,301
20200212,174500,29407.7429189,29512.5964592,29407.7429189,29487.7056188,803
20200212,180000,29487.5856147,29512.8364673,29466.2848955,29512.8364673,884
20200212,181500,29519.8967057,29536.9772824,29461.7947439,29485.6955509,856
20200212,183000,29485.8355556,29504.1461739,29479.9453568,29487.9956286,894
20200212,184500,29488.4456438,29504.9061995,29464.9248496,29470.5450394,881
20200212,190000,29470.2450292,29484.0554955,29457.7846085,29462.6847740,900
20200212,191500,29463.5448030,29497.0359338,29463.5448030,29472.6851116,900
20200212,193000,29472.9851217,29492.7357886,29459.6846727,29482.0754287,900
20200212,194500,29482.4554415,29485.7255519,29443.9141402,29448.7843046,900
20200212,200000,29448.4542935,29482.1954327,29441.1940484,29478.1252953,900
20200212,201500,29478.2052980,29495.3358764,29472.6651109,29485.1255317,900
20200212,203000,29484.4855100,29495.9258963,29477.6952808,29495.6358865,900
20200212,204500,29496.5859186,29507.9963039,29479.8253527,29495.1458700,900
20200212,210000,29495.8458936,29503.2561438,29470.2350289,29477.9952909,898
20200212,211500,29478.3353024,29480.6853817,29452.8844431,29461.0147176,900
20200212,213000,29460.9647159,29468.9849867,29449.0543138,29467.7149438,900
20200212,214500,29467.6849428,29497.5759520,29466.1548911,29494.7058551,900
20200212,220000,29494.9058619,29500.0760364,29481.2854020,29497.9759655,900
20200212,221500,29498.1159703,29516.0265750,29496.2959088,29505.0962059,900
20200212,223000,29505.1162066,29518.7566672,29500.6960574,29507.5162877,896
20200212,224500,29507.4862866,29521.3667553,29506.0462380,29516.3365855,900
20200212,230000,29516.4165882,29532.5971345,29504.9161999,29510.5863913,900
20200212,231500,29510.6763944,29531.2270882,29495.2358730,29504.0361702,900
20200212,233000,29503.9561674,29530.5370649,29497.2759419,29522.7768029,900
20200212,234500,29522.9168076,29551.9777888,29511.0364065,29550.4677379,900
20200213,000000,29550.4677379,29569.5683828,29546.7276116,29552.1177936,887
20200213,001500,29551.7577814,29552.4878061,29551.3877689,29552.4178037,896
20200213,003000,29552.4178037,29552.4178037,29552.4178037,29552.4178037,301
20200213,174500,29437.0239076,29457.5946021,29365.1914822,29431.9437360,802
20200213,180000,29431.0937073,29464.3148290,29392.0723898,29392.0723898,842
20200213,181500,29395.4725046,29411.0530307,29347.3308792,29407.8429223,785
20200213,183000,29408.2229351,29415.7831904,29378.7119387,29394.4924715,872
20200213,184500,29394.9124857,29402.9627575,29359.7712992,29383.5221011,880
20200213,190000,29383.7221079,29456.1845545,29383.7221079,29451.1643850,899
20200213,191500,29451.5343975,29470.0150215,29442.5340936,29442.5340936,892
20200213,193000,29442.5940956,29479.3453365,29431.6837273,29471.9950883,900
20200213,194500,29472.0050887,29501.8260955,29466.1148898,29474.6551781,900
20200213,200000,29474.7651818,29477.1452622,29454.8245086,29474.6351775,900
20200213,201500,29474.7451812,29517.2166152,29472.2550971,29510.1463765,900
20200213,203000,29510.1763775,29527.4369603,29491.9457619,29503.8561641,900
20200213,204500,29504.0461705,29514.8065338,29481.4654081,29487.1355995,900
20200213,210000,29487.2356029,29511.3964187,29469.4050009,29469.4650029,899
20200213,211500,29469.6550093,29485.1555327,29451.0743820,29452.8244410,900
20200213,213000,29452.5244309,29491.0557319,29442.8241034,29489.5556812,900
20200213,214500,29489.4856789,29516.2065811,29484.4455087,29506.1462414,900
20200213,220000,29506.4862529,29520.3567212,29502.0961046,29514.9165375,900
20200213,221500,29514.8365348,29536.3972628,29500.8260618,29508.8063312,900
20200213,223000,29508.7563295,29511.4164193,29485.6755502,29485.8255553,900
20200213,224500,29486.0255620,29502.9661340,29484.5455121,29489.1156664,900
20200213,230000,29489.3056728,29520.6867323,29478.9753240,29510.4363862,900
20200213,231500,29510.3763842,29519.5666945,29459.0546514,29461.0947203,893
20200213,233000,29461.3647294,29478.5253088,29461.3047274,29468.2849631,900
20200213,234500,29468.2849631,29471.7350795,29419.9233302,29428.7436280,900
20200214,000000,29429.2836462,29451.7844059,29413.8931266,29417.0932346,887
20200214,001500,29430.4236847,29430.4236847,29424.2334757,29424.3034781,893
20200214,003000,29424.3034781,29424.3034781,29424.3034781,29424.3034781,301
20200214,174500,29441.4640575,29464.0348196,29395.5425070,29404.9428244,865
20200214,180000,29405.2828359,29430.9937040,29389.2922960,29400.2026643,896
20200214,181500,29403.6627812,29411.6230499,29366.8215373,29381.4020295,885
20200214,183000,29380.1219863,29421.4733825,29373.6317672,29418.9532974,900
20200214,184500,29418.9332967,29433.0637738,29407.4329085,29408.4929442,900
20200214,190000,29408.6329490,29430.2136776,29406.0028602,29423.0934372,900
