<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200206,154500,7562.7600000,7567.0200000,7559.9700000,7566.1500000,247134780
20200206,160000,7563.8200000,7575.3100000,7563.8200000,7575.3100000,493123063
20200206,161500,7574.2400000,7575.2400000,7557.5800000,7559.2900000,274993256
20200206,163000,7559.1900000,7563.5500000,7559.0000000,7559.1000000,206185414
20200206,164500,7559.5000000,7565.6400000,7556.8300000,7563.1800000,366326074
20200206,170000,7562.9600000,7562.9600000,7546.4200000,7546.5200000,551543425
20200206,171500,7546.2600000,7558.6700000,7541.4800000,7556.4400000,441740380
20200206,173000,7556.0800000,7558.6600000,7551.2500000,7555.9500000,322324440
20200206,174500,7556.2400000,7558.9900000,7526.4100000,7531.0100000,746972444
20200206,180000,7532.4000000,7552.5800000,7532.4000000,7552.5800000,488276449
20200206,181500,7551.5200000,7557.0700000,7547.7800000,7555.3400000,541825251
20200206,183000,7556.4300000,7564.3300000,7553.5700000,7561.3500000,434602002
20200206,184500,7559.8600000,7561.8200000,7555.9500000,7559.4600000,339443851
20200206,190000,7569.0900000,7569.0900000,7569.0900000,7569.0900000,761328165
20200207,101500,7588.4200000,7591.0100000,7576.0700000,7586.4600000,641361195
20200207,103000,7587.9100000,7591.1100000,7567.1300000,7569.7500000,363381412
20200207,104500,7559.3300000,7571.5500000,7546.1400000,7561.3500000,763054369
20200207,110000,7561.7700000,7575.9100000,7559.1500000,7574.5300000,269591273
20200207,111500,7571.0500000,7582.2900000,7566.6800000,7581.5100000,480359460
20200207,113000,7584.0800000,7589.0000000,7578.0800000,7579.8100000,208382311
20200207,114500,7578.6000000,7581.7800000,7571.6500000,7577.1700000,305202087
20200207,120000,7579.4300000,7585.7600000,7564.2700000,7564.2700000,592786794
20200207,121500,7563.2500000,7566.6800000,7543.4100000,7549.0800000,870993707
20200207,123000,7549.3900000,7559.5000000,7543.3200000,7545.6500000,558326475
20200207,124500,7541.8000000,7550.5200000,7535.5600000,7550.0000000,477056023
20200207,130000,7550.0800000,7551.9300000,7539.3600000,7542.5600000,254502298
20200207,131500,7543.3500000,7551.3300000,7537.7900000,7538.5100000,190772754
20200207,133000,7539.3100000,7540.2100000,7510.0900000,7516.0200000,494414918
20200207,134500,7516.7200000,7531.6700000,7513.0400000,7518.9100000,499895023
20200207,140000,7521.2800000,7521.2800000,7502.3200000,7505.7100000,342172949
20200207,141500,7505.8700000,7523.8100000,7505.0200000,7518.7100000,330203667
20200207,143000,7520.0300000,7535.3400000,7520.0300000,7524.5000000,425857074
20200207,144500,7523.1500000,7531.1500000,7521.8000000,7527.0500000,180428994
20200207,150000,7528.5700000,7537.8800000,7527.3100000,7536.3300000,159151709
20200207,151500,7536.9200000,7554.4400000,7536.9200000,7549.5900000,555408313
20200207,153000,7548.1600000,7556.5000000,7547.6500000,7554.4600000,296230246
20200207,154500,7554.7500000,7563.8900000,7552.0800000,7561.5200000,302251299
20200207,160000,7560.9400000,7561.1800000,7554.0000000,7554.9800000,200343666
20200207,161500,7556.6200000,7566.4200000,7554.2000000,7565.9000000,317934132
20200207,163000,7566.4400000,7574.4500000,7566.2900000,7570.2300000,244505620
20200207,164500,7568.1500000,7574.9300000,7559.7500000,7566.0200000,431713056
20200207,170000,7566.0400000,7575.2500000,7565.6100000,7571.6900000,153594914
20200207,171500,7572.8300000,7586.3000000,7567.1300000,7580.2300000,1030223622
20200207,173000,7580.1600000,7581.6000000,7564.1400000,7572.2500000,285105839
20200207,174500,7573.3100000,7573.9300000,7554.9800000,7558.7000000,582504130
20200207,180000,7558.0600000,7581.7400000,7555.2700000,7577.8700000,335513306
20200207,181500,7581.0500000,7596.2100000,7576.1900000,7595.7400000,439517531
20200207,183000,7594.2400000,7596.5300000,7586.8900000,7589.7600000,690805642
20200207,184500,7588.6000000,7595.1500000,7588.6000000,7594.8600000,568672804
20200207,190000,7606.8400000,7606.8400000,7606.8400000,7606.8400000,974377808
20200210,101500,7616.0700000,7650.9200000,7616.0700000,7633.9300000,791327931
20200210,103000,7634.4100000,7650.5300000,7623.4100000,7650.5300000,817187347
20200210,104500,7651.2000000,7661.9200000,7647.4200000,7661.1000000,376294839
20200210,110000,7660.3000000,7660.9300000,7646.4300000,7652.8500000,212302454
20200210,111500,7653.1000000,7679.2800000,7651.6200000,7675.7500000,542992271
20200210,113000,7676.5100000,7676.5100000,7650.7100000,7654.1000000,473707147
20200210,114500,7653.6900000,7653.6900000,7631.4300000,7638.1400000,494646705
20200210,120000,7637.5400000,7640.9800000,7621.7600000,7631.1200000,353049739
20200210,121500,7629.0100000,7630.3100000,7601.0700000,7604.3000000,554403822
20200210,123000,7608.2800000,7608.2800000,7575.9300000,7591.8600000,608602998
20200210,124500,7592.9300000,7592.9300000,7575.2100000,7579.1700000,259899984
20200210,130000,7579.7100000,7595.5400000,7572.5300000,7590.1200000,209263297
20200210,131500,7588.0900000,7596.4000000,7587.4600000,7594.9700000,220249046
20200210,133000,7594.9200000,7599.4500000,7588.7900000,7588.7900000,323814461
20200210,134500,7588.3800000,7594.2000000,7579.6100000,7594.2000000,382562472
20200210,140000,7593.4000000,7594.4400000,7587.8900000,7593.4600000,200195258
20200210,141500,7592.3800000,7601.4000000,7587.2100000,7587.2100000,311968215
20200210,143000,7586.2600000,7591.5900000,7581.9700000,7581.9700000,242677511
20200210,144500,7582.2600000,7584.4200000,7576.6300000,7577.6600000,267340140
20200210,150000,7579.2100000,7581.2500000,7571.5400000,7579.4000000,187865135
20200210,151500,7581.4600000,7590.6700000,7569.7600000,7590.6700000,516625216
20200210,153000,7590.4000000,7593.7600000,7586.3400000,7591.2900000,313649578
20200210,154500,7590.4500000,7592.7500000,7588.6600000,7590.3900000,151356154
20200210,160000,7591.2200000,7593.1300000,7587.4300000,7588.8400000,120751583
20200210,161500,7586.9100000,7586.9100000,7577.4000000,7581.7700000,207800151
20200210,163000,7581.7500000,7590.8200000,7577.7800000,7589.7000000,200411944
20200210,164500,7589.6500000,7597.4400000,7575.6600000,7580.3500000,337415816
20200210,170000,7580.7700000,7585.1100000,7569.9300000,7573.3800000,490694126
20200210,171500,7573.8800000,7581.0600000,7570.8600000,7575.6100000,527241845
20200210,173000,7575.9700000,7578.5400000,7571.6500000,7571.6700000,191824765
20200210,174500,7572.1300000,7586.3000000,7572.1300000,7584.6900000,515481848
20200210,180000,7583.8300000,7589.5400000,7578.1600000,7586.8000000,311839355
20200210,181500,7587.3800000,7592.1000000,7579.9900000,7592.1000000,404280409
20200210,183000,7592.4200000,7593.5100000,7580.0800000,7580.0800000,399383689
20200210,184500,7581.2800000,7586.6700000,7580.1900000,7584.2500000,475002720
20200210,190000,7582.5200000,7582.5200000,7582.5200000,7582.5200000,635471254
20200211,101500,7604.4000000,7644.6900000,7604.4000000,7623.4100000,1351242618
20200211,103000,7620.0500000,7635.7600000,7617.7100000,7618.7900000,486596419
20200211,104500,7616.0900000,7626.4300000,7610.5900000,7626.4300000,275300058
20200211,110000,7626.6200000,7633.3100000,7619.3100000,7623.9000000,318502639
20200211,111500,7623.3100000,7623.3100000,7596.9200000,7604.1300000,550190420
20200211,113000,7604.2600000,7614.0600000,7601.3200000,7606.7300000,280250662
20200211,114500,7605.1500000,7607.2000000,7591.1200000,7597.5000000,511745082
20200211,120000,7596.0300000,7605.0400000,7594.2600000,7603.3000000,539094508
20200211,121500,7604.9600000,7611.4300000,7601.7100000,7609.4600000,605647376
20200211,123000,7610.0400000,7613.1800000,7605.9800000,7609.6800000,328147786
20200211,124500,7609.6100000,7625.7800000,7608.0600000,7617.0700000,238470511
20200211,130000,7616.5000000,7621.4000000,7612.9500000,7614.4500000,185544496
20200211,131500,7615.5200000,7616.3200000,7609.8700000,7612.1800000,190049136
20200211,133000,7611.6000000,7612.9800000,7606.1900000,7610.7100000,222263371
20200211,134500,7610.7300000,7610.8300000,7606.3300000,7607.2800000,128953368
20200211,140000,7605.1700000,7608.4400000,7604.0200000,7605.3800000,84079793
